event_id_cnty,manual_label,predicted_class_model,predicted_class_students,notes
CYP517,public services,labor rights,policies & politics,"On 28 September 2020, about 50 members of the Turkish Cypriot electricity union EL-SEN supported by the Union Platform protested at the Teknecik Power Plant [coded to Agios Epiktitos] over the lack of investment in maintenance, the lack of repairs and the imminent failure of the power plant generators."
ITA23103,lgbtq,policies & politics,lgbtq,"On 18 May 2024, a large group of people took part in the pride parade in Parma (Emilia-Romagna) in solidarity with the LBTQ+ community. Demonstrators also demanded inclusion and equal rights for all. Representatives of ANPI, the mayor of Parma (independent) and several councilors and members of the PD, including the Councilor for Equal Opportunities, were present, among others."
ITA7407,labor rights,public services,policies & politics,"On 26 March 2021, food delivery riders rode on their bikes through the streets and later gathered in San Firenze square in Florence (Firenze, Toscana) to demand more rights and dignity for their category and denounce piece-work remuneration contracts offered by food delivery platforms. Protesters were supported by the Nidil CGIL and UIL trade unions. The protest, which saw the participation of municipal officials, was part of a national day of protest called by food delivery riders."
FRA19654,labor rights,lgbtq,policies & politics,"On 19 October 2022, employees of the Sidel company gathered for a picket, as a part of their strike action, organized by UNSA in Lisieux, after their company declared that they would be closing the site in 2023 and they would be dismissed. An MP (Horizons), the Mayor of Lisieux (LR), the President of the Communaute d'agglomeration Lisieux Normandie (PS), a municipal councilor and the workers' lawyers also took part in the gathering."
GBR8516,public services,policies & politics,culture,"On 28 April 2025, at the call of Unison and Unite, campaigners gathered outside the Council House in Dudley (England) to protest against the plan to privatize local leisure centers."
FRA27350,labor rights,environment,lgbtq,"On 1 September 2023, people, including Valdunes employees and CGT affiliates, demonstrated in Trith-Saint-Leger (Hauts-de-France) against possible job cuts."
ITA17129,labor rights,animal welfare,education,"On 28 September 2022, nine former Keller workers climbed onto the rooftop of the Anas headquarters building in Palermo (Palermo, Sicilia), to protest against the conditions of their professional training."
ESP2375,unjust law enforcement,labor rights,women rights,"On 27 October 2020, citizens from Nigeria, predominantly women, gathered in Villabona (Gipuzkoa) to complain about corruption and police violence against protesters in Nigeria. The protest is part of the #EndSARS social movement."
AUT609,labor rights,public services,education,"On 1 May 2021, between 400 to 600 people protested in Salzburg on the occasion of May Day (Labor Day) for affordable housing, a reduction of working hours and a heavier taxation of super-rich individuals. The protest was organized, amongst others, by the KPOE, Fridays for Future, and a student group."
LVA257,public services,policies & politics,public services,"On 30 April 2024, residents of Roja with about 250 cars drove through the Roja-Valdemarpilis road (coded to Roja, Talsu) protesting against the bad roads in the central part of the county."
NLD3143,climate,public services,environment,"On 1 June 2024, an unknown number of XR activists organized a protest action in Rotterdam (Zuid-Holland) against cruise ship travels. They argued cruises were more polluting than air travel."
BGR1545,policies & politics,labor rights,policies & politics,"On 14 October 2020, relatives of a man who was murdered protested in Vidin demanding punishment for the culprit."
