event_id_cnty,manual_label,manual_label_alt,predicted_class_students,notes
NLD4655,labor rights,,labor rights,"On 30 January 2025, in the morning, at the call of FNV, around 100 striking IFF workers staged a picket outside their factory gates in Tilburg (Noord-Brabant) to demand a 7% wage increase, a seniors' scheme, and better conditions, following an initial 24-hour strike earlier in the week."
FRA9387,policies & politics,,policies & politics,"On 22 May 2021, people demonstrated in Paris to call on banks and government to drop public debts of African countries."
GBR7301,labor rights,,pandemic,"On 28 March 2024, striking STV journalists represented by the National Union of Journalists (NUJ) held a picket outside the Scottish Parliament in Edinburgh (Scotland) in a row over pay rise during the cost-of-living crisis. The event was part of a national day of action."
ROU1803,labor rights,,farmers,"On 6 January 2022, hundreds of unionized employees of the ALRO aluminium plant protested in Slatina, complaining over the high prices of energy that led to the reduction of the production capacity and demanding permission for companies to negotiate energy delivery directly with energy producers."
ITA7731,climate,,climate,"On 28 March 2021, Extinction Rebellion activists gathered outside the stock exchange in Milano - Municipio 1 and staged a flash mob to protest against the climate crisis and demand a finance that tackles the climate emergency."
DEU16979,climate,,climate,"On 2 September 2023, throughout the afternoon, 11 members of Last Generation gathered on the Konrad Adenauer Bridge between Mannheim and Ludwigshafen in Mannheim for climate protection. 5 people stuck to the road in the direction of Mannheim, and 4 activists on the other side of the road, and another action took place in the feeding lane between squares Q6 and Q7."
ITA10785,policies & politics,,housing,"On 27 August 2021, relatives of the victim and members of the mayor's executive unrolled a banner from the balcony of the town hall (Palazzo Pretorio) of Palermo (Palermo, Sicilia) to demand justice regarding the death of an Italian UN aid worker who was found dead in his apartment in San Vincente del Caguan in Colombia in July 2020."
SVN294,policies & politics,,policies & politics,"On 18 February 2022, three activists gathered with a protest in Izola against a planned purchase of local docks by the military."
DEU13894,climate,,environment,"On 11 November 2022, around 150 people, mostly FFF members, cycled and demonstrated in Halle (Saale) to call for climate protection on the occasion of CO27 in Egypt. They cycled from Universitatsplatz to Passage 13 in Neustadt."
GBR5968,labor rights,,labor rights,"On 25 January 2023, striking Amazon workers represented by GMB picketed at the company's fulfillment center in Coventry in a dispute over pay and working condition."
GRC286,environment,,environment,"On 23 November 2018, about 10 members of Rouvikonas threw flyers at the premises of a construction company in northern Athens to protest the construction of a landfill planned in Corfu."
BGR279,discrimination,policies & politics,policies & politics,"On Nov. 15, 2018: Mothers of children with disabilities protested demanding the resignation of deputy Prime Minister Valeri Simeonov over his insulting comments."
DEU21069,policies & politics,,policies & politics,"On 6 April 2024, under the motto 'Colorful, diverse, together: No extremists in our parliaments', around 200 people gathered at the market square in Radeberg (Sachsen) to protest against right-wing extremism."
FRA29080,public services,,public services,"On 25 November 2023, at the call of FFMC, around 600 motorcyclists took to the streets of Pau (Nouvelle-Aquitaine) to demonstrate against the introduction of a compulsory technical inspection of two-wheel vehicles."
DEU20909,policies & politics,,policies & politics,"On 26 March 2024, around 150 people gathered in Mindelheim (Bayern), to protest against the AfD district association's Bock beer festival."
