manual_label,n,strict,accepted
animal welfare,2,1.0,1.0
climate,13,0.6923076923076923,0.8461538461538461
culture,3,0.0,0.0
discrimination,2,0.0,1.0
education,8,0.75,0.875
environment,16,0.5625,0.6875
farmers,1,0.0,0.0
health care,4,0.5,0.75
housing,3,1.0,1.0
immigration,5,0.4,0.4
labor rights,50,0.42,0.52
pandemic,1,1.0,1.0
policies & politics,65,0.5692307692307692,0.7076923076923077
public services,17,0.8235294117647058,0.8823529411764706
ukraine-russia war,1,1.0,1.0
unjust law enforcement,5,0.8,0.8
women rights,4,1.0,1.0
